date_created,assetSlug,price
2023-04-29T23:55:44.582806Z,avalanche,17.47
2023-04-30T23:55:47.707372Z,avalanche,17.2
2023-05-01T23:55:54.912978Z,avalanche,16.67
2023-05-02T23:56:09.124839Z,avalanche,16.86
2023-05-03T23:50:57.223392Z,avalanche,17.21
2023-05-04T23:50:53.743135Z,avalanche,16.92
2023-05-05T23:51:01.731084Z,avalanche,17.38
2023-05-06T23:56:02.306893Z,avalanche,16.63
2023-05-07T23:51:00.238302Z,avalanche,16.49
2023-05-08T23:55:58.532984Z,avalanche,15.42
2023-05-09T23:55:50.836763Z,avalanche,15.32
2023-05-10T23:46:05.462495Z,avalanche,15.56
2023-05-11T23:51:22.490027Z,avalanche,14.98
2023-05-12T23:54:10.601528Z,avalanche,15.19
2023-05-13T23:42:30.540051Z,avalanche,14.97
2023-05-14T23:46:11.534375Z,avalanche,15.02
2023-05-15T23:56:18.469133Z,avalanche,15.12
2023-05-16T23:46:02.233387Z,avalanche,14.9
2023-05-17T23:40:53.242184Z,avalanche,15.16
2023-05-18T23:56:17.858852Z,avalanche,14.7
2023-05-19T23:55:52.574834Z,avalanche,14.68
2023-05-20T23:51:04.577524Z,avalanche,14.62
2023-05-21T23:56:07.353243Z,avalanche,14.32
2023-05-22T23:45:59.824855Z,avalanche,14.68
2023-05-23T23:31:06.36126Z,avalanche,14.71
2023-05-24T23:56:10.722141Z,avalanche,14.15
2023-05-25T23:40:58.655388Z,avalanche,14.09
2023-05-26T23:46:09.007798Z,avalanche,14.38
2023-05-27T23:56:16.815251Z,avalanche,14.53
2023-05-28T23:36:07.437594Z,avalanche,14.94
2023-05-29T23:51:02.790583Z,avalanche,14.48
2023-05-30T23:56:07.218073Z,avalanche,14.44
2023-05-31T23:51:02.563781Z,avalanche,14.13
2023-06-01T23:56:06.988012Z,avalanche,14.12
2023-06-02T23:50:45.063722Z,avalanche,14.49
2023-06-03T23:46:12.975869Z,avalanche,14.58
2023-06-04T23:51:11.970554Z,avalanche,14.8
2023-06-05T23:50:50.417085Z,avalanche,13.91
2023-06-06T23:56:44.925124Z,avalanche,14.63
2023-06-07T23:30:41.649695Z,avalanche,14.03
2023-06-08T23:45:37.536493Z,avalanche,13.93
2023-06-09T23:50:35.903814Z,avalanche,13.73
2023-06-10T23:50:42.433401Z,avalanche,11.68
2023-06-11T23:40:40.13144Z,avalanche,11.54
2023-06-12T23:50:36.986509Z,avalanche,11.53
2023-06-13T23:55:34.680335Z,avalanche,11.77
2023-06-14T23:45:54.087492Z,avalanche,11.36
2023-06-15T23:56:12.708496Z,avalanche,11.4
2023-06-16T23:15:03.356003Z,avalanche,11.54
2023-06-17T18:57:39.612677Z,avalanche,11.71
2023-06-18T23:53:22.63067Z,avalanche,11.35
2023-06-19T23:50:55.157998Z,avalanche,11.44
2023-06-20T23:57:33.395389Z,avalanche,12.09
2023-06-21T23:55:48.458469Z,avalanche,12.93
2023-06-22T23:55:48.925036Z,avalanche,12.67
2023-06-23T23:46:24.635587Z,avalanche,13.27
2023-06-24T23:56:29.012634Z,avalanche,13.03
2023-06-25T23:51:29.021134Z,avalanche,13.43
2023-06-26T23:30:53.788139Z,avalanche,13.11
2023-06-27T23:51:25.248157Z,avalanche,13.19
2023-06-28T23:41:29.368178Z,avalanche,12.34
2023-06-29T23:51:01.856129Z,avalanche,12.69
2023-06-30T23:50:45.835472Z,avalanche,13.01
2023-07-01T23:41:11.172905Z,avalanche,12.98
2023-07-02T23:51:21.017399Z,avalanche,13.1
2023-07-03T23:51:02.00047Z,avalanche,13.21
2023-07-04T23:51:19.585464Z,avalanche,13.07
2023-07-05T23:51:30.855519Z,avalanche,12.69
2023-07-06T23:51:15.859116Z,avalanche,12.47
2023-07-07T23:21:06.015534Z,avalanche,12.74
2023-07-08T23:51:06.140299Z,avalanche,13.64
2023-07-09T23:51:31.317573Z,avalanche,13.59
2023-07-10T23:51:21.612712Z,avalanche,13.37
2023-07-11T23:51:30.452219Z,avalanche,13.26
2023-07-12T23:51:05.963118Z,avalanche,13.03
2023-07-13T23:51:41.381209Z,avalanche,14.05
2023-07-14T23:51:23.120755Z,avalanche,14.59
2023-07-15T23:51:22.891288Z,avalanche,14.82
2023-07-16T23:51:12.252683Z,avalanche,14.25
2023-07-17T23:31:20.724026Z,avalanche,14.42
2023-07-18T23:51:21.970978Z,avalanche,13.76
2023-07-19T23:51:57.574162Z,avalanche,14.01
2023-07-20T23:51:30.928254Z,avalanche,13.86
2023-07-21T23:51:19.94019Z,avalanche,13.98
2023-07-22T23:41:19.690254Z,avalanche,13.46
2023-07-23T23:51:18.524117Z,avalanche,13.56
2023-07-24T23:51:36.220002Z,avalanche,13.1
2023-07-25T23:51:47.362262Z,avalanche,13.34
2023-07-26T23:41:17.566808Z,avalanche,13.26
2023-07-27T23:21:18.23746Z,avalanche,13.14
2023-07-28T23:42:12.925695Z,avalanche,13.24
2023-07-29T23:51:54.734054Z,avalanche,13.26
2023-07-30T23:41:17.579104Z,avalanche,13.14
2023-07-31T23:51:28.983835Z,avalanche,12.83
2023-08-01T23:51:51.214642Z,avalanche,12.83
2023-08-02T23:50:47.33206Z,avalanche,12.53
2023-08-03T23:40:50.1658Z,avalanche,12.45
2023-08-04T23:50:46.567327Z,avalanche,12.39
2023-08-05T23:40:45.518981Z,avalanche,12.42
2023-08-06T23:50:47.025517Z,avalanche,12.56
2023-08-07T23:50:46.802706Z,avalanche,12.45
2023-08-08T23:51:09.773426Z,avalanche,12.69
2023-08-09T23:40:53.355002Z,avalanche,12.64
2023-08-10T23:40:50.716613Z,avalanche,12.47
2023-08-11T23:50:48.884617Z,avalanche,12.44
2023-08-12T23:40:45.689251Z,avalanche,12.38
2023-08-13T23:50:46.148586Z,avalanche,12.25
2023-08-14T23:31:31.058636Z,avalanche,12.35
2023-08-15T23:50:47.355846Z,avalanche,11.81
2023-08-16T23:50:45.483605Z,avalanche,11.36
2023-08-17T23:40:51.998917Z,avalanche,10.55
2023-08-18T23:40:52.721981Z,avalanche,10.79
2023-08-19T23:50:43.597822Z,avalanche,10.8
2023-08-20T23:50:53.091328Z,avalanche,10.87
2023-08-21T23:42:00.625046Z,avalanche,10.37
2023-08-22T23:50:51.488778Z,avalanche,10.12
2023-08-23T23:40:50.04884Z,avalanche,10.34
2023-08-24T23:50:58.985697Z,avalanche,10.1
2023-08-25T23:50:52.462658Z,avalanche,10.06
2023-08-26T23:20:46.954083Z,avalanche,10.09
2023-08-27T23:30:59.605148Z,avalanche,10.19
2023-08-28T23:50:55.890955Z,avalanche,10.37
2023-08-29T23:51:00.249205Z,avalanche,10.8
2023-08-30T23:50:52.657306Z,avalanche,10.41
2023-08-31T23:50:52.255379Z,avalanche,9.99
2023-09-01T23:40:50.653637Z,avalanche,9.92
2023-09-02T23:40:57.149768Z,avalanche,9.91
2023-09-03T23:50:52.247597Z,avalanche,9.89
2023-09-04T23:41:10.940559Z,avalanche,9.78
2023-09-05T23:50:52.206179Z,avalanche,9.91
2023-09-06T23:41:07.13793Z,avalanche,9.93
2023-09-07T23:51:43.498364Z,avalanche,10.06
2023-09-08T23:20:55.196959Z,avalanche,9.92
2023-09-09T23:50:56.222503Z,avalanche,9.84
2023-09-10T23:40:53.555751Z,avalanche,9.47
2023-09-11T23:42:22.554278Z,avalanche,9.22
2023-09-12T23:20:45.143563Z,avalanche,9.22
2023-09-13T23:41:02.684227Z,avalanche,9.3
2023-09-14T23:50:47.490184Z,avalanche,9.39
2023-09-15T23:50:40.385289Z,avalanche,9.43
2023-09-16T23:20:39.322572Z,avalanche,9.38
2023-09-17T23:20:41.330226Z,avalanche,9.09
2023-09-18T23:51:33.799422Z,avalanche,9.11
2023-09-19T23:31:17.798542Z,avalanche,9.22
2023-09-20T23:50:42.524023Z,avalanche,9.05
2023-09-21T23:41:10.440868Z,avalanche,8.82
2023-09-22T23:40:45.303837Z,avalanche,8.87
2023-09-23T23:40:43.189307Z,avalanche,8.9
2023-09-24T23:50:39.377942Z,avalanche,8.78
2023-09-25T23:50:40.689154Z,avalanche,8.93
2023-09-26T23:50:47.81498Z,avalanche,9.05
2023-09-27T23:40:51.259153Z,avalanche,8.92
2023-09-28T23:41:23.328118Z,avalanche,9.26
2023-09-29T23:50:42.185874Z,avalanche,9.17
2023-09-30T23:50:39.734992Z,avalanche,9.25
2023-10-01T23:50:50.772387Z,avalanche,9.75
2023-10-02T23:50:54.417376Z,avalanche,9.34
2023-10-03T23:51:36.100405Z,avalanche,9.4
2023-10-04T23:51:07.304138Z,avalanche,10.12
2023-10-05T23:50:41.539473Z,avalanche,10.15
2023-10-06T23:41:32.58662Z,avalanche,10.66
2023-10-07T23:50:55.308241Z,avalanche,10.37
2023-10-08T23:51:09.420753Z,avalanche,10.09
2023-10-09T23:50:54.559886Z,avalanche,9.53
2023-10-10T23:50:46.726803Z,avalanche,9.55
2023-10-11T23:51:10.819748Z,avalanche,9.3
2023-10-12T23:50:39.315541Z,avalanche,9.12
2023-10-13T23:51:49.438477Z,avalanche,9.15
2023-10-14T23:50:49.158762Z,avalanche,9.15
2023-10-15T23:51:27.349963Z,avalanche,9.17
2023-10-16T23:32:24.393675Z,avalanche,9.42
2023-10-17T23:31:14.402669Z,avalanche,9.11
2023-10-18T23:31:51.457575Z,avalanche,8.92
2023-10-19T23:51:53.817012Z,avalanche,9.07
2023-10-20T23:51:57.699101Z,avalanche,9.23
2023-10-21T23:52:03.491868Z,avalanche,9.63
2023-10-22T23:41:55.52334Z,avalanche,10.05
2023-10-23T23:51:47.535958Z,avalanche,10.52
2023-10-24T23:50:43.369435Z,avalanche,10.32
2023-10-25T23:52:57.825577Z,avalanche,10.49
2023-10-26T23:51:23.531753Z,avalanche,11.1
2023-10-27T23:51:12.611107Z,avalanche,10.61
2023-10-28T23:41:31.891035Z,avalanche,10.96
2023-10-29T23:51:33.884163Z,avalanche,11.37
2023-10-30T23:42:12.633568Z,avalanche,11.44
2023-10-31T23:50:14.441795Z,avalanche,11.31
2023-11-01T23:50:17.861384Z,avalanche,12.2
2023-11-02T19:04:43.005144Z,avalanche,11.78
2023-11-03T23:50:58.091352Z,avalanche,12.11
2023-11-04T23:51:01.067293Z,avalanche,12.24
2023-11-05T23:51:01.073082Z,avalanche,12.36
2023-11-06T23:51:00.103441Z,avalanche,13.04
2023-11-07T23:50:18.346462Z,avalanche,12.81
2023-11-08T23:50:18.908087Z,avalanche,13.02
2023-11-09T12:00:15.357261Z,avalanche,13.7
2023-11-10T13:10:27.146844Z,avalanche,13.42
2023-11-12T23:05:27.710364Z,avalanche,19.3
2023-11-13T15:04:58.088055Z,avalanche,17.31
2023-11-14T23:50:22.044925Z,avalanche,17.16
2023-11-15T23:50:23.345981Z,avalanche,20.67
2023-11-16T23:50:24.219909Z,avalanche,21.46
2023-11-17T23:50:18.430992Z,avalanche,22.03
2023-11-18T23:50:18.753336Z,avalanche,22.03
2023-11-19T23:50:18.523177Z,avalanche,22.95
2023-11-20T23:50:19.014624Z,avalanche,20.8
2023-11-21T23:50:20.82828Z,avalanche,19.12
2023-11-22T23:50:19.759119Z,avalanche,20.83
2023-11-23T20:30:18.497437Z,avalanche,20.62
2023-11-24T17:04:30.775813Z,avalanche,21.3
2023-11-25T23:50:18.862127Z,avalanche,21.26
2023-11-26T23:50:20.01232Z,avalanche,21.13
2023-11-27T23:50:22.586849Z,avalanche,20.35
2023-11-28T23:51:00.797663Z,avalanche,20.62
2023-11-29T23:51:01.045139Z,avalanche,21.1
2023-11-30T23:50:57.785391Z,avalanche,21.38
2023-12-01T23:51:02.191001Z,avalanche,21.82
2023-12-02T23:51:00.538995Z,avalanche,22.2
2023-12-03T23:51:05.225192Z,avalanche,22.0
2023-12-04T23:51:05.884663Z,avalanche,22.45
2023-12-05T23:51:05.214179Z,avalanche,24.33
2023-12-06T22:11:12.991782Z,avalanche,26.57
2023-12-07T23:51:10.548021Z,avalanche,26.29
2023-12-08T23:51:01.821974Z,avalanche,30.65
2023-12-09T23:50:58.423536Z,avalanche,31.77
2023-12-10T23:51:00.589152Z,avalanche,37.08
2023-12-11T23:51:05.433208Z,avalanche,38.35
2023-12-12T23:51:00.319862Z,avalanche,37.51
2023-12-13T23:53:29.788028Z,avalanche,38.95
2023-12-14T23:53:03.800619Z,avalanche,39.3
2023-12-15T23:53:28.996019Z,avalanche,40.05
2023-12-16T23:53:04.476474Z,avalanche,41.83
2023-12-17T23:53:09.39616Z,avalanche,40.77
2023-12-18T23:53:10.576502Z,avalanche,40.98
2023-12-19T23:53:10.365394Z,avalanche,39.75
